Topic,Count,Name,Avg_Sentiment
0,877,0_shes_nancy_pelosi_nancy pelosi,-0.16
1,856,1_australia_morrison_scott morrison_australias,-0.36
2,772,2_children_school_students_kids,-0.21
3,689,3_fires_wildfires_california_forest,-0.52
4,664,4_paris_agreement_paris climate_accord,-0.23
5,590,5_hes_doesnt_think_said,-0.32
6,561,6_greta_thunberg_greta thunberg_activist,0.05
7,538,7_weather_record_temperatures_heatwave,-0.14
8,531,8_hurricanes_storms_hurricane_storm,-0.35
9,466,9_cost_economy_billion_money,-0.25
10,435,10_existential_existential threat_threat_crisis,-0.38
11,429,11_arctic_ice_alaska_greenland,-0.14
12,386,12_hes_care_health care_hes going,-0.1
13,379,13_hoax_change hoax_does president_believe,-0.43
14,331,14_emergency_national emergency_national_gun,-0.3
15,322,15_science_believe_real_change real,-0.29
16,314,16_aviation_flying_civil servant_servant,-0.22
17,305,17_executive_coal_executive order_order,-0.19
18,288,18_london_arrested_police_rebellion,-0.53
19,287,19_tax_carbon tax_carbon_taxes,-0.18
20,287,20_new deal_green new_green_deal,-0.07
21,283,21_amazon_brazil_bolsonaro_brazils,-0.36
22,267,22_zero_2050_uk_zero 2050,0.14
23,266,23_macron_emmanuel_emmanuel macron_french,0.01
24,260,24_coral_reef_barrier reef_bleaching,-0.3
25,258,25_biden_joe_joe biden_vice,-0.04
26,242,26_degrees_15 degrees_15_celsius,-0.24
27,233,27_inslee_jay_jay inslee_governor,0.16
28,227,28_trees_tree_forest_planting,-0.0
29,223,29_meat_eat_eat meat_beef,-0.2
30,223,30_china_chinese_chinas_said china,-0.02
31,209,31_g7_g7 summit_summit_leaders,-0.23
32,204,32_california_brown_governor_jerry brown,-0.18
33,200,33_cars_diesel_electric_pollution,-0.13
34,195,34_brexit_corbyn_labour_party,-0.2
35,191,35_melting pot_species going_pot impacted_impacted species,-0.37
36,190,36_republicans_republican_democrats_party,-0.29
37,189,37_gases_greenhouse_atmosphere_dioxide,-0.28
38,185,38_sea_sea levels_rise_rising,-0.32
39,182,39_pope_francis_pope francis_vatican,-0.01
40,179,40_got reduce_greenhouse_gases_greenhouse gases,-0.31
41,177,41_sir david_attenborough_david attenborough_sir,-0.1
42,177,42_cold_tweet_happened global_global warming,-0.41
43,173,43_bbc_bbc news_news_programme,0.11
44,171,44_ocasiocortez_alexandria_alexandria ocasiocortez_congresswoman,-0.18
45,168,45_film_films_bafta_movie,-0.11
46,166,46_madrid_talks_point return_talks madrid,-0.17
47,155,47_merkel_angela_angela merkel_chancellor,-0.21
48,152,48_prince_prince charles_charles_duchess,0.01
49,148,49_pruitt_scott pruitt_scott_epa,-0.25
50,145,50_french_tax_france_tear gas,-0.56
51,139,51_poland_conference_talks_conference poland,0.09
52,133,52_fish_marine_fishing_shetland,-0.27
53,129,53_demonstrations_protests_150 countries_150,-0.09
54,128,54_chinese_hoax_chinese hoax_created chinese,-0.5
55,124,55_gore_al_al gore_inconvenient,-0.18
56,123,56_democrats_care_health care_medicare,-0.06
57,119,57_europe_european_eu_european union,-0.09
58,114,58_farmers_farming_agriculture_national farmers,-0.14
59,113,59_12 years_12_end 12_years,-0.42
60,111,60_chris hayes_hayes_chris_msnbc,0.25
61,110,61_wind_energy_renewable_solar,-0.06
62,107,62_security_national security_military_national,-0.27
63,105,63_impeachment_impeach_health care_health,-0.32
64,98,64_africa_sahara_desert_region,-0.52
65,94,65_borisjohnson_boris_channel_debate,-0.24
66,94,66_hamburg_620_620 summit_summit,-0.06
67,91,67_bloomberg_michael bloomberg_michael_gun,0.14
68,90,68_tillerson_rex_rex tillerson_state rex,-0.11
69,87,69_harry_prince harry_prince_meghan,-0.02
70,85,70_waste_plastic_landfill_recycling,-0.25
71,85,71_keeps growing_just keeps_potential just_keeps,0.35
72,84,72_going touched_touched climate_touched_going,-0.06
73,84,73_lights_earth hour_darkness_landmarks,-0.13
