Topic,Count,Name,Avg_Sentiment
-1,5275,-1_trump_new_president_climate,-0.09
0,228,0_fashion_designer_wear_fashion week,0.29
1,217,1_reads_books_reading_reading great,0.27
2,217,2_hurricane_storm_harvey_hurricanes,-0.32
3,178,3_yankees_mets_injury_game,0.05
4,159,4_species_birds_forests_animals,-0.25
5,150,5_restaurant_chef_food_cook,0.36
6,131,6_earthquake_typhoon_cyclone_philippines,-0.56
7,127,7_women_sexual_harassment_gender,-0.09
8,124,8_facebook_tech_google_data,-0.17
9,123,9_open_williams_tennis_federer,0.07
10,122,10_oil_coal_energy_gas,-0.18
11,121,11_immigrants_border_migrants_immigration,-0.41
12,118,12_heat_ice_temperatures_heat wave,-0.31
13,112,13_warriors_nba_knicks_golden state,0.05
14,109,14_nfl_patriots_quarterback_bowl,0.03
15,109,15_afghan_afghanistan_taliban_killed,-0.57
16,108,16_places_52_traveler_52 places,0.48
17,102,17_iran_syria_isis_iranian,-0.41
18,100,18_epa_pruitt_scott_scott pruitt,-0.26
19,99,19_wildfires_california_fires_firefighters,-0.51
20,97,20_climate_climate change_change_global warming,-0.11
21,92,21_tesla_electric_cars_elon,0.14
22,92,22_plastic_waste_bags_straws,-0.2
23,92,23_puerto_puerto rico_rico_maria,-0.34
24,91,24_police_man_officers_officer,-0.65
25,83,25_couple_couple met_met_groom,0.14
26,83,26_impeachment_mueller_democrats_house,-0.26
27,82,27_cup_world cup_soccer_world,0.08
28,81,28_film_movies_hollywood_films,0.19
29,81,29_songs_new songs_playlist_hear,0.36
30,80,30_democrats_governor_senate_new jersey,0.01
31,77,31_tv_netflix_shows_tv shows,0.37
32,77,32_health_care_health care_affordable care,-0.24
33,75,33_trade_tariffs_trade war_china,-0.33
34,71,34_air_pollution_air pollution_smog,-0.55
35,70,35_epa_agency_rules_pollution,-0.35
36,70,36_museum_art_museums_artists,-0.0
37,69,37_volkswagen_diesel_emissions_scandal,-0.41
38,68,38_music_classical_classical music_opera,0.5
39,65,39_tax_budget_tax cut_trillion,-0.16
40,64,40_paris_paris climate_climate_accord,-0.13
41,63,41_olympics_olympic_gold_winter olympics,0.32
42,62,42_russia_russian_putin_russias,-0.22
43,58,43_korea_north_north korea_south,-0.27
44,58,44_biden_joe_joe biden_bidens,0.06
45,57,45_amazon_amazons_sales_delivery,0.0
46,57,46_wine_wines_vineyards_producers,0.44
47,55,47_wedding_weddings_weeks wedding_wedding announcements,0.34
48,54,48_patients_parents_gard_charlie gard,-0.31
49,50,49_brexit_britain_uk_theresa,-0.27
50,49,50_coral_reef_reefs_coral reefs,-0.1
51,49,51_water_flint_lead_contamination,-0.48
52,48,52_science_climate_climate change_change,-0.37
53,48,53_colleges_students_college_tuition,-0.09
54,48,54_dance_ballet_performances_dance performances,0.35
55,47,55_macron_france_emmanuel_emmanuel macron,-0.11
56,46,56_amazon_bolsonaro_brazils_brazil,-0.38
57,46,57_kavanaugh_supreme_supreme court_brett,-0.12
58,45,58_art_shows closing_closing soon_art shows,0.19
59,45,59_climate_students_protesters_protest,-0.25
60,43,60_green_tiny_buildings_rooftops,0.29
61,43,61_colbert_kimmel_stephen colbert_stephen,-0.12
62,43,62_obama_trump_100 days_president,-0.06
63,43,63_rangers_nhl_stanley_stanley cup,0.23
64,41,64_football_brain_concussions_injuries,-0.34
65,41,65_merkel_angela_angela merkel_chancellor,-0.15
66,41,66_green new_new deal_green_climate,0.08
67,41,67_trudeau_justin_justin trudeau_prime,-0.21
68,40,68_saudi_aramco_saudi aramco_saudi arabias,-0.03
69,40,69_subway_congestion_mta_transit,-0.29
70,39,70_debate_debates_harris_democratic,0.22
71,39,71_contest_reading contest_summer reading_winners,0.61
72,39,72_boeing_plane_flight_max,-0.56
