Topic,Count,Name,Avg_Sentiment
0,3862,0_canada_tax_justintrudeau_canadians,-0.25
1,3607,1_australia_auspol_australian_morrison,-0.19
2,3274,2_footprint_carbon_flying_private,0.47
3,3220,3_sustainability_business_csr_esg,-0.38
4,2671,4_trump_realdonaldtrump_gore_al,0.2
5,2639,5_policy_environmental_students_class,-0.14
6,1727,6_food_meat_farmers_agriculture,0.06
7,1589,7_eu_brexit_labour_uk,-0.26
8,1348,8_la_de_les_le,0.16
9,1258,9_trees_tree_forests_planting,-0.19
10,1203,10_co2_vapor_atmosphere_dioxide,-0.29
11,1193,11_views_clickasnap_photography_botany,-0.16
12,1177,12_china_india_chinese_chinas,0.09
13,1156,13_solar_wind_panels_renewableenergy,0.09
14,1132,14_marine_ocean_fish_oceans,-0.35
15,928,15_wildfires_fires_fire_california,-0.51
16,922,16_gillesnfio_ethonraptor_gladfly1_3ghtweets,-0.33
17,837,17_plastic_plastics_plasticpollution_oceans,0.22
18,805,18_electric_tesla_ev_evs,-0.25
19,679,19_city_cities_plan_urban,-0.44
20,668,20_water_river_rivers_groundwater,0.52
21,653,21_delhi_india_arvindkejriwal_narendramodi,-0.1
22,611,22_snow_degrees_summer_winter,-0.11
23,602,23_disasters_natural_earthquakes_earthquake,-0.02
24,597,24_god_jesus_spirituality_endofdays,0.21
25,570,25_disasters_natural_preparedness_prepare,0.26
26,568,26_crisis_climatereality_24hoursofreality_solve,-0.11
27,562,27_paris_agreement_accord_parisagreement,-0.17
28,543,28_vegan_veganism_vegetarian_vegans,-0.6
29,521,29_fashion_clothing_clothes_sustainablefashion,-0.01
30,517,30_california_californias_standards_ca,0.18
31,516,31_aaa_alternative_offset_following,-0.02
32,477,32_greta_gretathunberg_thunberg_activist,0.47
33,438,33_engineering_location_info_job,0.15
34,429,34_arctic_ice_antarctica_greenland,-0.06
35,427,35_women_gender_girls_womens,-0.47
36,424,36_children_kids_child_parents,0.35
37,406,37_light_stars_sky_night,0.43
38,394,38_ireland_irish_scotland_irishwildlife,0.08
39,387,39_gcas2018_summit_stepup2018_september,0.22
40,360,40_nepa_national_act_protectyourvoice,-0.22
41,351,41_media_news_journalists_journalism,-0.28
42,326,42_aqi_particle_microns_near,-0.43
43,310,43_indigenous_peoples_rights_knowledge,-0.23
44,291,44_nuclear_power_reactors_chernobyl,0.86
45,288,45_coral_reef_reefs_barrier,-0.0
46,270,46_puerto_rico_hurricane_hurricanes,0.21
47,266,47_court_supreme_dutch_courts,-0.03
48,262,48_ai_google_machinelearning_artificial,0.31
49,260,49_methane_potent_leaks_dioxide,-0.12
50,259,50_insect_insects_butterfly_butterflies,-0.43
51,256,51_republicans_democrats_senate_party,0.1
52,255,52_coal_miners_ash_mines,0.37
53,253,53_deal_green_new_realistic,-0.15
54,250,54_youth_thisiszerohour_young_march,-0.36
55,246,55_pets_dogs_animals_cats,-0.11
56,244,56_100_71_companies_1988,-0.25
57,239,57_bike_bikes_biking_cycling,0.07
58,238,58_target_uk_score_calculated,-0.23
59,237,59_congestion_traffic_cars_tfl,0.34
60,234,60_homepod_architecture_startups_design,0.01
61,234,61_sports_football_sport_league,-0.28
62,217,62_thorium_uranium_nuclear_meaningful,0.18
63,217,63_liked_youtube_video_skylines,-0.39
64,212,64_recycling_recycle_waste_reuse,0.18
65,205,65_skylines_vdeo_gustado_youtube,-0.39
66,205,66_color_racism_white_supremacy,-0.27
67,204,67_gun_immigration_healthcare_rights,-0.27
68,200,68_health_nurses_doctors_hospitals,-0.44
69,194,69_brazil_bolsonaro_amazon_brazilian,-0.09
70,193,70_coffee_cup_cups_starbucks,-0.51
71,190,71_fracking_fracturing_ban_hydraulic,0.0
72,189,72_cooling_ice_age_70s,-0.5
73,182,73_emissions_greenhouse_gas_reduce,-0.34
74,176,74_billion_costliest_cost_damages,0.03
75,175,75_shipping_ships_maritime_imohq,-0.39
76,172,76_pruitt_scott_epa_pruitts,-0.52
77,170,77_straws_straw_plastic_ban,-0.29
78,165,78_bees_bee_pollinators_honey,-0.15
79,165,79_polar_bears_bear_starving,0.27
80,164,80_permafrost_thawing_arctic_methane,-0.37
81,159,81_sea_rise_level_levels,-0.19
82,153,82_oregon_orleg_orpol_cleanenergyjobs,-0.24
83,150,83_blockchain_ico_crypto_bitcoin,-0.32
84,142,84_book_books_booklikenoother_fiction,-0.3
85,139,85_podcast_episode_podcasts_listen,-0.31
86,139,86_landfills_composting_compost_landfill,-0.05
87,138,87_hoax_scientists_evidence_man,-0.0
88,137,88_soil_soils_organic_farming,0.4
89,136,89_russia_putin_russian_collusion,-0.36
90,135,90_capitalism_capitalist_solve_wealth,0.06
91,127,91_inventory_2016_emissions_metric,-0.64
92,127,92_sawit_beritasawit_di_palmoil,0.18
93,125,93_bills_home_saver_homes,-0.02
94,124,94_wall_border_binational_pay,0.41
95,119,95_florida_algae_rick_tide,-0.04
96,119,96_het_dat_kita_yg,0.3
97,118,97_bitcoin_crypto_mining_tokenize,-0.46
98,116,98_exxon_exxonmobil_exxonknew_sec,-0.45
99,115,99_insurance_homeowners_mortgages_property,-0.54
100,114,100_germany_merkel_german_germanys,-0.46
101,113,101_concrete_cement_steel_construction,-0.12
102,113,102_lighting_led_bulbs_lights,0.11
103,113,103_japan_japanese_typhoon_osaka,-0.23
104,113,104_palm_oil_palmoil_orangutans,0.35
105,112,105_gays_punish_sends_gay,-0.3
106,112,106_allspeciesmatter_stopextinction_pls_endangeredspecies,-0.21
107,110,107_tourism_travel_tourists_tourisms,0.15
108,110,108_music_song_album_pitbull,-0.45
109,110,109_fiji_pacific_fijipm_cop23,-0.24
